id,Community_Name,COMM_CODE,Year,Avg_Resident_Count,Total_Crime_Count,Sectors,Distinct_Longitudes,Distinct_Latitudes,crime_rate,ln_crime_rate,SHORTEST_DISTANCE_TO_LRT_METERS,SHORTEST_DISTANCE_TO_POLICE_METERS,age_75_plus_percentage,male_percentage,TotalPermits,calgary_cer_unemployment_rate,canada_unemployment_rate,calgary_cma_average_hourly_wage_rate,CLASS_CODE,COMM_NAME,property_assessment_median
603,TUSCANY,TUS,2020,19884,118,NORTHWEST,-114.2408862,51.12191109,593.4419634,6.385939422,1443.759521,10721.56641,2.77,49.23,114,0.1125,0.0935,34.85,1,TUSCANY,473500
604,TUXEDO PARK,TUX,2020,5326,277,CENTRE,-114.0610449,51.07421777,5200.901239,8.556587205,2448.261963,3067.821533,4.33,50.18,93,0.1125,0.0935,34.85,1,"""TUXEDO PARK""",446000
605,UPPER MOUNT ROYAL,UMR,2020,2478,66,CENTRE,-114.0850257,51.02997368,2663.438257,7.887373145,1841.365356,3232.914307,5.67,51.32,38,0.1125,0.0935,34.85,1,"""UPPER MOUNT ROYAL""",1470000
606,UNIVERSITY DISTRICT,UND,2020,705,33,NORTHWEST,-114.1449648,51.07385412,4680.851064,8.451235224,1684.162354,4000.280518,0,51.65,33,0.1125,0.0935,34.85,1,"""UNIVERSITY DISTRICT""",4210000
607,UNIVERSITY HEIGHTS,UNI,2020,2921,76,NORTHWEST,-114.1330866,51.07040418,2601.848682,7.863977503,1227.028564,3563.725342,5.08,51.05,55,0.1125,0.0935,34.85,1,"""UNIVERSITY HEIGHTS""",763500
608,UNIVERSITY OF CALGARY,UOC,2020,2367,8,NORTHWEST,-114.1299338,51.07502079,337.9805661,5.822988397,740.8067017,3067.443359,0,47.86, ,0.1125,0.0935,34.85,1,"""UNIVERSITY OF CALGARY""",1038250
609,VALLEY RIDGE,VAL,2020,5585,41,WEST,-114.2512974,51.09538859,734.1092211,6.59865782,4330.820313,9438.545898,6.11,49.38,32,0.1125,0.0935,34.85,1,"""VALLEY RIDGE""",516500
610,VARSITY,VAR,2020,12874,281,NORTHWEST,-114.1625068,51.09605377,2182.693801,7.688315082,815.095459,4741.008789,12.74,48.96,127,0.1125,0.0935,34.85,1,VARSITY,436000
611,VISTA HEIGHTS,VIS,2020,2370,115,NORTHEAST,-114.0177052,51.07193318,4852.320675,8.487212359,2551.396484,2342.014404,3.34,50.04,7,0.1125,0.0935,34.85,1,"""VISTA HEIGHTS""",347000
612,WALDEN,WAL,2020,6228,41,SOUTH,-114.0326195,50.87040629,658.3172768,6.489686999,4085.29126,4459.658203,5.02,48.05,287,0.1125,0.0935,34.85,1,WALDEN,346000
613,WOODBINE,WBN,2020,8866,81,SOUTH,-114.1296282,50.94023326,913.6025265,6.817395604,4120.51416,6244.878906,4.55,50.51,48,0.1125,0.0935,34.85,1,WOODBINE,419000
614,WESTGATE,WGT,2020,3202,54,WEST,-114.1585939,51.04417785,1686.445971,7.430378618,757.2023315,840.7418823,6.07,48.42,23,0.1125,0.0935,34.85,1,WESTGATE,478500
615,WHITEHORN,WHI,2020,12019,287,NORTHEAST,-113.9700682,51.08877987,2387.885847,7.778163671,873.4872437,1257.784546,4.66,51.86,95,0.1125,0.0935,34.85,1,WHITEHORN,331500
616,WEST HILLHURST,WHL,2020,6447,237,CENTRE,-114.1151585,51.05507951,3676.128432,8.209615421,1371.124878,3160.488525,3.75,49.6,110,0.1125,0.0935,34.85,1,"""WEST HILLHURST""",649500
617,WILLOW PARK,WIL,2020,5328,165,SOUTH,-114.0561955,50.9566238,3096.846847,8.038139727,1308.5802,4695.03125,10.41,50.06,79,0.1125,0.0935,34.85,1,"""WILLOW PARK""",476000
618,WINSTON HEIGHTS/MOUNTVIEW,WIN,2020,3635,172,CENTRE,-114.0418487,51.0752988,4731.774415,8.462055552,2921.00415,4040.599854,6.64,51.43,69,0.1125,0.0935,34.85,1,"""WINSTON HEIGHTS/MOUNTVIEW""",485000
619,WILDWOOD,WLD,2020,2709,46,WEST,-114.1585386,51.05825825,1698.043559,7.437232019,2276.291016,2293.37915,6.87,48.92,33,0.1125,0.0935,34.85,1,WILDWOOD,607750
620,WINDSOR PARK,WND,2020,4584,217,CENTRE,-114.0835522,51.00504544,4733.856894,8.46249556,1542.52832,1151.949951,5.42,48.88,26,0.1125,0.0935,34.85,1,"""WINDSOR PARK""",205000
621,WOODLANDS,WOO,2020,6002,118,SOUTH,-114.1061596,50.94112398,1966.01133,7.583762063,2549.984131,5192.589355,5.09,49.16,40,0.1125,0.0935,34.85,1,WOODLANDS,412500
622,WEST SPRINGS,WSP,2020,10758,110,WEST,-114.2061707,51.0597831,1022.494888,6.930000888,2777.680176,4518.953613,1.59,49.09,122,0.1125,0.0935,34.85,1,"""WEST SPRINGS""",572500
623,YORKVILLE,YKV,2020,14,1,SOUTH,-114.0823464,50.87035669,7142.857143,8.873868135,3234.5625,4221.477539, , ,90,0.1125,0.0935,34.85,1,YORKVILLE,313000
624,ABBEYDALE,ABB,2021,5957,111,NORTHEAST,-113.9278039,51.05941501,1863.354037,7.530133389,3768.14209,4199.871582,2.2,51.35,28,0.0925,0.08,34.7,1,ABBEYDALE,279000
625,ACADIA,ACA,2021,10520,200,SOUTH,-114.053696,50.97241507,1901.140684,7.550209345,1568.291382,3086.125977,9.07,50.57,135,0.0925,0.08,34.7,1,ACADIA,379500
626,ALBERT PARK/RADISSON HEIGHTS,ALB,2021,6997,335,EAST,-113.9967779,51.04453295,4787.766186,8.473819232,389.9811707,2099.138428,3.71,51.91,58,0.0925,0.08,34.7,1,"""ALBERT PARK/RADISSON HEIGHTS""",298500
627,ALTADORE,ALT,2021,6942,153,CENTRE,-114.1007824,51.01595412,2203.975799,7.69801819,2836.883789,2916.125732,2.28,48.98,208,0.0925,0.08,34.7,1,ALTADORE,705500
628,APPLEWOOD PARK,APP,2021,6981,85,EAST,-113.9278103,51.04487483,1217.590603,7.104629269,4053.160889,4619.529785,2.9,50.81,18,0.0925,0.08,34.7,1,"""APPLEWOOD PARK""",330000
629,ARBOUR LAKE,ARB,2021,10619,148,NORTHWEST,-114.207675,51.13259471,1393.728223,7.23973761,1132.820679,9085.507813,8.37,48.77,119,0.0925,0.08,34.7,1,"""ARBOUR LAKE""",429000
630,ASPEN WOODS,ASP,2021,9446,64,WEST,-114.2078018,51.04518148,677.5354647,6.518461898,1643.640991,4024.091553,2.41,49.35,93,0.0925,0.08,34.7,1,"""ASPEN WOODS""",710500
631,AUBURN BAY,AUB,2021,17607,128,SOUTHEAST,-113.9578173,50.89270535,726.9835861,6.5889039,7785.311523,7251.579102,1.22,49.58,171,0.0925,0.08,34.7,1,"""AUBURN BAY""",401500
632,BONAVISTA DOWNS,BDO,2021,928,9,SOUTH,-114.0315055,50.94373043,969.8275862,6.87711831,2820.298584,4550.981445,4.97,52.76,12,0.0925,0.08,34.7,1,"""BONAVISTA DOWNS""",387750
633,BEDDINGTON HEIGHTS,BED,2021,11514,196,NORTH,-114.0849111,51.13164399,1702.275491,7.439721159,5936.874023,4046.490967,4.01,49.87,79,0.0925,0.08,34.7,1,"""BEDDINGTON HEIGHTS""",328500
634,BEL-AIRE,BEL,2021,390,11,CENTRE,-114.0889343,50.99944255,2820.512821,7.944673999,1644.597168,1201.698486,7.61,48.29,12,0.0925,0.08,34.7,1,BEL-AIRE,1635000
635,BELMONT,BLM,2021,86,7,SOUTH,-114.05528,50.86872242,8139.534884,9.004488318,3510.892334,4241.003418,0,54.72,196,0.0925,0.08,34.7,1,BELMONT,297000
636,BELTLINE,BLN,2021,25129,1432,CENTRE,-114.0551861,51.03743796,5698.595249,8.647974976,252.4011383,1374.914185,2.61,51.94,233,0.0925,0.08,34.7,1,BELTLINE,164000
637,BANFF TRAIL,BNF,2021,4153,255,CENTRE,-114.1151284,51.07421633,6140.139658,8.722602766,364.3628235,2400.795898,3.38,54.38,87,0.0925,0.08,34.7,1,"""BANFF TRAIL""",587000
638,BANKVIEW,BNK,2021,5256,182,CENTRE,-114.1004832,51.03412753,3462.709285,8.149806592,1195.243042,3557.627686,1.43,51.27,44,0.0925,0.08,34.7,1,BANKVIEW,211500
639,BOWNESS,BOW,2021,11150,393,NORTHWEST,-114.1883885,51.08334629,3524.663677,8.1675403,2947.017822,5656.612305,5.86,49.83,198,0.0925,0.08,34.7,1,BOWNESS,353500
640,BRAESIDE,BRA,2021,5805,76,SOUTH,-114.1063659,50.95600269,1309.216193,7.177183911,2238.37915,5220.638672,5.86,49.13,32,0.0925,0.08,34.7,1,BRAESIDE,353000
641,BRIDGELAND/RIVERSIDE,BRD,2021,6835,262,CENTRE,-114.0350798,51.05055069,3833.211412,8.25145822,405.9263611,2232.391357,8.45,47.93,117,0.0925,0.08,34.7,1,BRIDGELAND/RIVERSIDE,264000
642,BRENTWOOD,BRE,2021,7267,237,NORTHWEST,-114.1359192,51.09606554,3261.318288,8.089886775,1067.33728,2672.572266,7.76,50.28,97,0.0925,0.08,34.7,1,BRENTWOOD,464500
643,BRIDLEWOOD,BRI,2021,12641,64,SOUTH,-114.1102262,50.89925717,506.2890594,6.22710777,2891.437012,3660.810303,2.04,49.22,64,0.0925,0.08,34.7,1,BRIDLEWOOD,341500
644,BRITANNIA,BRT,2021,690,13,CENTRE,-114.0862774,51.012644,1884.057971,7.541183225,1826.200806,1942.412964,6.13,49.64,22,0.0925,0.08,34.7,1,BRITANNIA,1540000
645,BELVEDERE,BVD,2021,41,18,EAST,-113.904983,51.03782747,43902.43902,10.68972516,5832.635742,6402.229004, , ,85,0.0925,0.08,34.7,1,BELVEDERE,389000
646,BAYVIEW,BYV,2021,751,11,SOUTH,-114.1139643,50.97463476,1464.713715,7.289415086,2804.05835,3896.888916,8.26,47.8,11,0.0925,0.08,34.7,1,BAYVIEW,839000
647,CAMBRIAN HEIGHTS,CAM,2021,2036,37,CENTRE,-114.089379,51.08433917,1817.288802,7.505101,2403.767578,966.4053345,6.64,50.39,34,0.0925,0.08,34.7,1,"""CAMBRIAN HEIGHTS""",534000
648,CANYON MEADOWS,CAN,2021,7624,122,SOUTH,-114.0820063,50.94095721,1600.209864,7.377890064,1083.845825,4238.694336,5.6,50.22,77,0.0925,0.08,34.7,1,"""CANYON MEADOWS""",409500
649,CAPITOL HILL,CAP,2021,4744,219,CENTRE,-114.0946312,51.07266528,4616.357504,8.437361254,1054.197754,2118.908447,3.7,52.74,95,0.0925,0.08,34.7,1,"""CAPITOL HILL""",553500
650,CARRINGTON,CAR,2021,572,11,NORTH,-114.0887654,51.18568826,1923.076923,7.561681746,10042.7832,6946.60498,1.24,49.82,405,0.0925,0.08,34.7,1,CARRINGTON,366250
651,CASTLERIDGE,CAS,2021,6127,165,NORTHEAST,-113.9610297,51.10525413,2692.998205,7.898410426,1112.139038,1016.384155,2.36,51.01,41,0.0925,0.08,34.7,1,CASTLERIDGE,299500
652,CEDARBRAE,CED,2021,6094,66,SOUTH,-114.1296216,50.95819945,1083.032491,6.987520247,3783.674805,6046.554688,5.18,49.08,29,0.0925,0.08,34.7,1,CEDARBRAE,336500
653,COUGAR RIDGE,CGR,2021,6997,52,WEST,-114.2090798,51.07188085,743.1756467,6.610932419,4094.203369,5509.40332,1.07,49.76,45,0.0925,0.08,34.7,1,"""COUGAR RIDGE""",508500
654,CHAPARRAL,CHA,2021,12654,61,SOUTH,-114.0256688,50.88467246,482.0610084,6.178070679,3436.301025,3411.560303,2.45,49.73,65,0.0925,0.08,34.7,1,CHAPARRAL,436000
655,CHINOOK PARK,CHK,2021,1662,21,SOUTH,-114.088994,50.98322809,1263.537906,7.141670927,1184.178467,1997.937256,10.88,48.64,14,0.0925,0.08,34.7,1,"""CHINOOK PARK""",618750
656,CHINATOWN,CHN,2021,2471,69,CENTRE,-114.0655219,51.05282359,2792.391744,7.934653764,487.4941101,2796.670166,20.07,48.96,20,0.0925,0.08,34.7,1,CHINATOWN,273500
657,CHRISTIE PARK,CHR,2021,2128,19,WEST,-114.1760176,51.04079953,892.8571429,6.794426594,557.4190674,1745.203369,15.46,47.43,14,0.0925,0.08,34.7,1,"""CHRISTIE PARK""",629500
658,COUNTRY HILLS VILLAGE,CHV,2021,2597,60,NORTH,-114.0613954,51.15820385,2310.358106,7.745157816,7926.130371,4360.632324,15.72,45.38,14,0.0925,0.08,34.7,1,"""COUNTRY HILLS VILLAGE""",161500
659,CHARLESWOOD,CHW,2021,3569,61,NORTHWEST,-114.1122123,51.09008805,1709.16223,7.443758606,617.2336426,1784.659424,7.73,52.36,74,0.0925,0.08,34.7,1,CHARLESWOOD,560000
660,CITADEL,CIT,2021,10077,50,NORTHWEST,-114.1839369,51.14453876,496.1794185,6.206937592,2922.041016,8540.134766,2.46,49.38,51,0.0925,0.08,34.7,1,CITADEL,408000
661,CLIFF BUNGALOW,CLI,2021,1895,118,CENTRE,-114.0749017,51.03393319,6226.912929,8.736635972,1137.979126,2550.943848,2.41,49.65,22,0.0925,0.08,34.7,1,"""CLIFF BUNGALOW""",234500
662,CORNERSTONE,CNS,2021,2648,93,NORTHEAST,-113.9305705,51.15735997,3512.084592,8.163965041,3727.137939,3785.679199,0.3,53.49,881,0.0925,0.08,34.7,1,CORNERSTONE,295500
663,COACH HILL,COA,2021,3244,34,WEST,-114.1829796,51.05838583,1048.088779,6.954723574,2325.022461,3148.549805,6.56,46.81,25,0.0925,0.08,34.7,1,"""COACH HILL""",346000
664,COLLINGWOOD,COL,2021,2249,36,NORTHWEST,-114.1024036,51.08350991,1600.711427,7.378203451,1509.693604,963.7573853,7.71,49.98,43,0.0925,0.08,34.7,1,COLLINGWOOD,533750
665,CORAL SPRINGS,COR,2021,5801,75,NORTHEAST,-113.9269485,51.10335277,1292.880538,7.164627983,2898.006104,2651.960449,4.54,51.11,46,0.0925,0.08,34.7,1,"""CORAL SPRINGS""",447000
666,COUNTRY HILLS,COU,2021,3767,47,NORTH,-114.0798938,51.14377568,1247.677197,7.129038859,7206.637207,4663.444824,4.95,49.03,22,0.0925,0.08,34.7,1,"""COUNTRY HILLS""",329000
667,COVENTRY HILLS,COV,2021,17667,111,NORTH,-114.0531434,51.16490633,628.2900323,6.443001895,7931.32959,4451.202148,1.29,50.22,106,0.0925,0.08,34.7,1,"""COVENTRY HILLS""",361500
668,COPPERFIELD,CPF,2021,13823,95,SOUTHEAST,-113.9294598,50.91781279,687.2603632,6.532713206,9926.171875,9193.566406,0.72,50.44,159,0.0925,0.08,34.7,1,COPPERFIELD,322000
669,CRANSTON,CRA,2021,19884,129,SOUTHEAST,-113.9799915,50.87820239,648.7628244,6.475067202,6661.673828,6412.44043,1.75,49.74,344,0.0925,0.08,34.7,1,CRANSTON,403500
670,CRESCENT HEIGHTS,CRE,2021,6620,303,CENTRE,-114.0616132,51.05949595,4577.039275,8.428807622,1445.833496,3585.981689,5.13,50.17,81,0.0925,0.08,34.7,1,"""CRESCENT HEIGHTS""",276500
671,CRESTMONT,CRM,2021,1690,18,WEST,-114.2690467,51.08370277,1065.088757,6.970813415,5607.623047,9237.425781,1.36,50.3,85,0.0925,0.08,34.7,1,CRESTMONT,557500
672,CITYSCAPE,CSC,2021,3104,41,NORTHEAST,-113.961258,51.14703156,1320.876289,7.18605065,2475.445557,2689.75293,1.1,50.05,237,0.0925,0.08,34.7,1,CITYSCAPE,385250
673,CURRIE BARRACKS,CUR,2021,1262,11,WEST,-114.1248177,51.01572349,871.6323296,6.770367695,2843.559326,3118.220947,2.38,47.22,30,0.0925,0.08,34.7,1,"""CURRIE BARRACKS""",292000
674,DALHOUSIE,DAL,2021,8940,135,NORTHWEST,-114.1581554,51.10940994,1510.067114,7.319909375,701.0775757,4828.660156,8.07,49.58,84,0.0925,0.08,34.7,1,DALHOUSIE,419750
675,DOUGLASDALE/GLEN,DDG,2021,12881,132,SOUTHEAST,-114.0119081,50.94844437,1024.765158,6.932218751,4288.687012,5705.290039,4.25,50.25,71,0.0925,0.08,34.7,1,DOUGLASDALE/GLEN,424000
676,DIAMOND COVE,DIA,2021,690,12,SOUTH,-114.0226559,50.94621275,1739.130435,7.461140517,3495.330322,5085.394043,5.07,51.74,11,0.0925,0.08,34.7,1,"""DIAMOND COVE""",479500
677,DISCOVERY RIDGE,DIS,2021,4280,55,WEST,-114.2168722,51.01549975,1285.046729,7.158550362,3190.341797,5205.297363,4.05,49.15,37,0.0925,0.08,34.7,1,"""DISCOVERY RIDGE""",317500
678,DOWNTOWN COMMERCIAL CORE,DNC,2021,8683,1102,CENTRE,-114.0695937,51.04727444,12691.46608,9.448685085,76.88247681,2840.02417,4.13,50.65,340,0.0925,0.08,34.7,1,"""DOWNTOWN COMMERCIAL CORE""",105000
679,DOWNTOWN EAST VILLAGE,DNE,2021,3893,312,CENTRE,-114.0508479,51.04709033,8014.384793,8.988993305,438.7055054,2013.547852,5.28,59.29,17,0.0925,0.08,34.7,1,"""DOWNTOWN EAST VILLAGE""",247250
680,DOWNTOWN WEST END,DNW,2021,2785,112,CENTRE,-114.0877794,51.04796914,4021.543986,8.299421184,89.81443787,3931.493652,3.74,52.27,15,0.0925,0.08,34.7,1,"""DOWNTOWN WEST END""",178500
681,DOVER,DOV,2021,10351,345,EAST,-113.993054,51.02256772,3333.011303,8.11163147,2719.459229,3321.821289,5.56,51.83,65,0.0925,0.08,34.7,1,DOVER,259000
682,DEER RIDGE,DRG,2021,3973,41,SOUTH,-114.020234,50.92657387,1031.965769,6.939220776,3625.266357,3519.419922,5.05,48.01,15,0.0925,0.08,34.7,1,"""DEER RIDGE""",332000
683,DEER RUN,DRN,2021,5065,30,SOUTH,-114.0090877,50.92540672,592.3000987,6.38401343,4412.036133,4090.70459,3.9,50.56,26,0.0925,0.08,34.7,1,"""DEER RUN""",371000
684,EAGLE RIDGE,EAG,2021,302,32,SOUTH,-114.0967932,50.98874427,10596.02649,9.26823435,1921.300781,2367.987305,13.61,53.06,6,0.0925,0.08,34.7,1,"""EAGLE RIDGE""",1390000
685,EAU CLAIRE,EAU,2021,2030,68,CENTRE,-114.0728218,51.05360699,3349.753695,8.116642098,752.986145,3492.414795,7.65,50.2,33,0.0925,0.08,34.7,1,"""EAU CLAIRE""",34000
686,EDGEMONT,EDG,2021,15395,82,NORTHWEST,-114.1439532,51.12458785,532.6404677,6.277846652,2635.43335,5002.614746,6.3,49.04,84,0.0925,0.08,34.7,1,EDGEMONT,534500
687,ELBOW PARK,EPK,2021,3342,87,CENTRE,-114.0838053,51.02134304,2603.231598,7.864508874,1624.701782,2760.192627,5.08,50.39,60,0.0925,0.08,34.7,1,"""ELBOW PARK""",1200000
688,ERIN WOODS,ERI,2021,7049,150,EAST,-113.9676688,51.02097628,2127.961413,7.662919717,3476.33374,4828.495605,1.91,50.85,33,0.0925,0.08,34.7,1,"""ERIN WOODS""",274000
689,ERLTON,ERL,2021,1270,55,CENTRE,-114.0631465,51.02633379,4330.708661,8.373486471,702.4049072,1767.216919,3.39,51.3,12,0.0925,0.08,34.7,1,ERLTON,293000
690,EVERGREEN,EVE,2021,21500,85,SOUTH,-114.1156756,50.91871688,395.3488372,5.979768507,3027.700928,4161.682617,3.84,49.02,105,0.0925,0.08,34.7,1,EVERGREEN,402500
691,EVANSTON,EVN,2021,17685,89,NORTH,-114.1124511,51.17108536,503.2513429,6.221089733,8252.856445,8127.725098,2.48,49.48,293,0.0925,0.08,34.7,1,EVANSTON,431500
692,ELBOYA,EYA,2021,1754,55,CENTRE,-114.0736046,51.01299335,3135.689852,8.050604477,994.8292236,1708.476196,4.28,50.97,29,0.0925,0.08,34.7,1,ELBOYA,746500
693,FAIRVIEW,FAI,2021,3646,56,SOUTH,-114.0603609,50.98538212,1535.929786,7.3368912,1234.594849,1596.927368,6.81,50.19,46,0.0925,0.08,34.7,1,FAIRVIEW,384000
694,FALCONRIDGE,FAL,2021,10653,311,NORTHEAST,-113.945375,51.10330638,2919.365437,7.979121556,2125.566406,1864.776245,1.64,51.63,83,0.0925,0.08,34.7,1,FALCONRIDGE,276000
695,FOOTHILLS,FHI,2021,317,248,EAST,-113.9820382,50.99396303,78233.43849,11.26745244,5874.596191,5688.58252,0,95.62,56,0.0925,0.08,34.7,2,"""FOOTHILLS INDUSTRIAL""",2350000
696,FOREST HEIGHTS,FHT,2021,6496,197,EAST,-113.9687579,51.04924315,3032.635468,8.017187312,1364.313721,1983.881836,5.53,52.23,30,0.0925,0.08,34.7,1,"""FOREST HEIGHTS""",265500
697,FOREST LAWN INDUSTRIAL,FLI,2021,123,83,EAST,-113.9569699,51.02709478,67479.6748,11.11958172,3438.309082,4486.468262,6.06,79.8,10,0.0925,0.08,34.7,2,"""FOREST LAWN -  INDUSTRIAL""",782500
698,FOREST LAWN,FLN,2021,7814,512,EAST,-113.9700019,51.03784805,6552.34195,8.787577814,1992.810547,3013.663574,3.95,54.39,96,0.0925,0.08,34.7,1,"""FOREST LAWN""",286500
699,GARRISON GREEN,GAG,2021,2060,29,WEST,-114.1245263,51.00305515,1407.76699,7.249760033,4166.51123,3723.780029,8.41,45.07,6,0.0925,0.08,34.7,1,"""GARRISON GREEN""",246500
700,GARRISON WOODS,GAW,2021,3116,30,CENTRE,-114.1136145,51.01717823,962.7727856,6.86981744,2838.947754,3523.008057,11.51,44.68,31,0.0925,0.08,34.7,1,"""GARRISON WOODS""",384500
701,GLENBROOK,GBK,2021,7442,142,WEST,-114.1526948,51.02419405,1908.089223,7.553857614,1532.758667,1548.652344,5.48,47.96,117,0.0925,0.08,34.7,1,GLENBROOK,390500
702,GLENDALE,GDL,2021,2765,83,WEST,-114.1527189,51.03337139,3001.808318,8.006970159,520.671875,534.9021606,5.87,49.42,66,0.0925,0.08,34.7,1,GLENDALE,515000
703,GLAMORGAN,GLA,2021,6522,121,WEST,-114.1532276,51.01552678,1855.259123,7.525779654,2497.189453,2516.389404,6.8,48.85,53,0.0925,0.08,34.7,1,GLAMORGAN,395500
704,GREENWOOD/GREENBRIAR,GRE,2021,896,8,NORTHWEST,-114.2229707,51.08986537,892.8571429,6.794426594,3792.854248,7610.522461,7.74,49.89,12,0.0925,0.08,34.7,1,GREENWOOD/GREENBRIAR,223750
705,GREENVIEW INDUSTRIAL PARK,GRI,2021,225,137,CENTRE,-114.0490587,51.0865182,60888.88889,11.01680599,4209.514648,2698.116455,48.77,36.95,18,0.0925,0.08,34.7,2,"""GREENVIEW INDUSTRIAL PARK""",1090000
706,GREENVIEW,GRV,2021,1906,56,CENTRE,-114.0574699,51.09485614,2938.090241,7.985515071,4245.778809,2425.466797,4.11,51.16,8,0.0925,0.08,34.7,1,GREENVIEW,172000
707,HAMPTONS,HAM,2021,7382,44,NORTHWEST,-114.1466842,51.14509284,596.0444324,6.390315215,4749.137695,6948.618652,6.22,49.41,49,0.0925,0.08,34.7,1,HAMPTONS,624500
708,HARVEST HILLS,HAR,2021,7420,93,NORTH,-114.052778,51.14767759,1253.369272,7.133590622,6795.574707,3226.790283,4.07,49.89,101,0.0925,0.08,34.7,1,"""HARVEST HILLS""",368500
709,HAWKWOOD,HAW,2021,9248,59,NORTHWEST,-114.1756154,51.1309781,637.9757785,6.458300318,2358.008057,7123.027344,5.65,49.8,50,0.0925,0.08,34.7,1,HAWKWOOD,451500
710,HAYSBORO,HAY,2021,7080,216,SOUTH,-114.0833402,50.97221484,3050.847458,8.023174686,902.6192017,2938.588379,6.28,49.51,121,0.0925,0.08,34.7,1,HAYSBORO,381000
711,HIDDEN VALLEY,HID,2021,11566,85,NORTH,-114.1196092,51.15193708,734.9126751,6.599751683,6115.583984,6910.256348,2.27,50.61,56,0.0925,0.08,34.7,1,"""HIDDEN VALLEY""",397500
712,HILLHURST,HIL,2021,6558,286,CENTRE,-114.093646,51.05727753,4361.085697,8.380476318,657.6994629,3831.011963,2.08,49.41,133,0.0925,0.08,34.7,1,HILLHURST,435250
713,HIGHWOOD,HIW,2021,2258,80,CENTRE,-114.0798911,51.09235942,3542.95837,8.172717355,3303.677979,1056.835693,5.97,49.84,41,0.0925,0.08,34.7,1,HIGHWOOD,448500
714,HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,2021,2798,195,CENTRE,-114.1057298,51.06317954,6969.26376,8.849264868,254.5234528,3260.248779,11.04,47.62,57,0.0925,0.08,34.7,1,"""HOUNSFIELD HEIGHTS/BRIAR HILL""",521250
715,HIGHLAND PARK,HPK,2021,3838,181,CENTRE,-114.0620558,51.08801818,4715.997916,8.45871582,3440.4104,2336.817627,4.49,51.83,70,0.0925,0.08,34.7,1,"""HIGHLAND PARK""",446000
716,HUNTINGTON HILLS,HUN,2021,13420,273,NORTH,-114.0667094,51.11758229,2034.277198,7.61789585,5673.785156,2219.977783,7.5,49.44,125,0.0925,0.08,34.7,1,"""HUNTINGTON HILLS""",363500
717,INGLEWOOD,ING,2021,4024,160,CENTRE,-114.0191258,51.03414052,3976.143141,8.288067568,1130.679077,1339.703613,3.22,49.46,85,0.0925,0.08,34.7,1,INGLEWOOD,349250
718,KINCORA,KCA,2021,6889,51,NORTH,-114.1328651,51.16026671,740.3106402,6.607069882,6584.911621,8094.856445,1.67,50.29,31,0.0925,0.08,34.7,1,KINCORA,413500
719,KELVIN GROVE,KEL,2021,2305,34,SOUTH,-114.0890283,50.98988114,1475.05423,7.296450034,1687.394409,1476.067383,12.81,45.05,22,0.0925,0.08,34.7,1,"""KELVIN GROVE""",676250
720,KILLARNEY/GLENGARRY,KIL,2021,7685,262,CENTRE,-114.1317313,51.03013196,3409.238777,8.134244313,1014.663025,1558.937134,3.16,49.6,153,0.0925,0.08,34.7,1,KILLARNEY/GLENGARRY,525500
721,KINGSLAND,KIN,2021,4688,175,SOUTH,-114.0773588,50.98697675,3732.935154,8.224950108,1022.686401,1245.683228,4.17,51.04,47,0.0925,0.08,34.7,1,KINGSLAND,389250
722,LEGACY,LEG,2021,6420,52,SOUTH,-114.0059978,50.8576144,809.9688474,6.696995787,6388.015137,6627.098145,1.15,48.77,455,0.0925,0.08,34.7,1,LEGACY,259000
723,LIVINGSTON,LIV,2021,1477,34,NORTH,-114.0655067,51.18550406,2301.963439,7.741517707,10162.35059,6807.100586,1.23,49.15,644,0.0925,0.08,34.7,1,LIVINGSTON,365500
724,LAKE BONAVISTA,LKB,2021,10293,122,SOUTH,-114.0513367,50.93980339,1185.271544,7.077727178,1363.651123,3716.171387,10.71,49.93,143,0.0925,0.08,34.7,1,"""LAKE BONAVISTA""",531000
725,LAKEVIEW,LKV,2021,5355,71,WEST,-114.1296214,50.99957241,1325.863679,7.189819359,4476.213867,4038.185547,9.82,48.84,88,0.0925,0.08,34.7,1,LAKEVIEW,571000
726,LOWER MOUNT ROYAL,LMR,2021,3457,138,CENTRE,-114.0864994,51.0365032,3991.900492,8.29202271,1182.459839,3399.200195,2.58,51.61,25,0.0925,0.08,34.7,1,"""LOWER MOUNT ROYAL""",228000
727,LINCOLN PARK,LPK,2021,2617,34,WEST,-114.1299919,51.01027374,1299.197554,7.169502087,3356.365967,3438.806152,10.48,44.63,7,0.0925,0.08,34.7,1,"""LINCOLN PARK""",155000
728,MACEWAN GLEN,MAC,2021,4754,34,NORTH,-114.1152135,51.13771904,715.1872108,6.572544342,4965.489746,5306.121582,4.49,49.35,31,0.0925,0.08,34.7,1,MACEWAN,386500
729,MAYFAIR,MAF,2021,432,8,CENTRE,-114.0889557,50.99581204,1851.851852,7.523941418,1623.178711,1204.078369,7.87,50.69,7,0.0925,0.08,34.7,1,MAYFAIR,1010000
730,MAHOGANY,MAH,2021,11784,94,SOUTHEAST,-113.9245125,50.89585538,797.6917855,6.681722289,10137.93457,9534.296875,1.53,49.49,793,0.0925,0.08,34.7,1,MAHOGANY,411500
